Number	Reference	Size	Mode	LowAlt	HighAlt	DiffAlt	BVO2	BVO2SD	AVO2	AVO2SD	Altitude	Swithin	ES	d	Vd_Independent	Vd_Corr	J	G	Vg_Independent	Vg_Corr
38	"Martin, 1993"	8	cycle	0	3740	3740	45.4	5.5	37.8	7.561929596	3.7	6.611837083	-7.6	-1.149453609	0.291288862	0.103788862	0.888888889	-1.021736541	0.230154163	0.082006015
38	"Martin, 1993"	8	cycle	0	3740	3740	67.2	4	49.7	3.412462908	3.7	3.717855773	-17.5	-4.707014222	0.942374465	0.754874465	0.888888889	-4.184012642	0.74459217	0.596444022
70	"McLellan,1988 "	4	cycle	173*	4200	4027	49.6	3.243243243	29.5	2.972972973	4.2	3.111044441	-20.1	-6.460852739	3.108913632	2.733913632	0.727272727	-4.698801992	1.64438407	1.446036962
1	"Mollard et al., 2007"	8	cycle	0	1000	1000	65.5	5.091168825	62.7	8.202438662	1	6.826419267	-2.8	-0.410171115	0.255257511	0.067757511	0.888888889	-0.364596547	0.201684947	0.053536799
1	"Mollard et al., 2007"	8	cycle	0	1000	1000	43.3	5.939696962	42	6.222539674	1	6.08276253	-1.3	-0.213718684	0.251427365	0.063927365	0.888888889	-0.189972164	0.198658659	0.050510511
79	Murphy. 1989	8	cycle	0	3207	3200	50.97	5.89255651	43.5	4.556910368	3.2	5.267240944	-7.47	-1.41819979	0.312852833	0.125352833	0.888888889	-1.260622036	0.247192362	0.099044213
64	"Naeije, 2010"	13	cycle	Brussels	4500	4500	47	7.211102551	32	8.202438662	4.5	7.722693831	-15	-1.942327422	0.226396843	0.111012227	0.936170213	-1.818349076	0.198417513	0.097292744
72	"Ogawa, 2010"	12	treadmill	0*	2500	2500	59.7	10.1	48.7	5.4	2.5	8.098456643	-11	-1.358283496	0.205102793	0.080102793	0.930232558	-1.263519531	0.177482135	0.069315559
81	"Ozcelik, 2004"	8	cycle	?	4345	4340	42.59	7.936507937	34.79	5.291005291	4.3	6.744734807	-7.8	-1.156457626	0.29179357	0.10429357	0.888888889	-1.027962334	0.230552944	0.082404796
13	"Paterson, 1987"	3	treadmill	0	1500	1500	65.1	8.140638796	61.3	4.67653718	1.5	6.638523932	-3.8	-0.572416404	0.693971712	0.193971712	0.571428571	-0.327095088	0.226603008	0.063337702
13	"Paterson, 1987"	4	treadmill	0	1500	1500	49.8	4	47.1	2.8	1.5	3.4525353	-2.7	-0.782034003	0.538223574	0.163223574	0.727272727	-0.568752002	0.284680237	0.08633313
39	"Peltonen, 1995"	6	rowing	0	2300	2300	65.4	4.607721046	55.2	2.864259029	2.3	3.83634416	-10.2	-2.658781271	0.62787991	0.37787991	0.842105263	-2.238973702	0.44525556	0.267970241
4	"Peltonen, 2001"	6	cycle	0	2660	2660	61.8	4.347826087	48.6	5.97826087	2.7	5.227006539	-13.2	-2.52534599	0.599057182	0.349057182	0.842105263	-2.126607149	0.424816173	0.247530855
69	"Ponsot, 2009"	7	cycle	?	3000	3000	61.4	4.497777229	50.4	4.646384741	3	4.572684724	-11	-2.405588984	0.492387799	0.278102084	0.869565217	-2.091816508	0.372315916	0.21028513
